City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Geraldton,AU,2022-01-25 01:17:02,-28.7667,114.6,75.61,41,0,18.41
223,Bolotnoye,RU,2022-01-25 01:17:02,55.6717,84.3981,-0.65,97,100,7.34
224,Salisbury,GB,2022-01-25 01:17:03,51.0693,-1.7957,40.41,85,100,2.3
225,Aswan,EG,2022-01-25 01:17:03,24.0934,32.907,49.93,45,6,11.92
226,Roma,US,2022-01-25 01:04:49,43.2128,-75.4557,20.66,86,100,8.05
227,Ishigaki,JP,2022-01-25 01:17:03,24.3448,124.1572,69.93,73,75,12.66
228,Hami,CN,2022-01-25 01:17:04,42.8,93.45,23.5,52,100,5.12
229,Bonavista,CA,2022-01-25 01:15:09,48.6499,-53.1147,33.12,97,100,24.4
230,Faya,SA,2022-01-25 01:17:04,18.3851,42.4509,48.31,54,0,0.43
231,Caravelas,BR,2022-01-25 01:09:27,-17.7125,-39.2481,74.17,90,100,4.59
232,Grand Gaube,MU,2022-01-25 01:18:05,-20.0064,57.6608,77.4,70,68,3.0
233,Palana,RU,2022-01-25 01:18:05,59.1167,159.9667,-7.62,94,50,4.54
234,Boli,CN,2022-01-25 01:18:05,45.7667,130.5167,12.49,73,94,1.12
235,Palu,ID,2022-01-25 01:18:06,-0.8917,119.8707,83.52,73,100,1.63
236,Cidreira,BR,2022-01-25 01:08:39,-30.1811,-50.2056,76.42,91,0,14.2
237,Erdaojiang,CN,2022-01-25 01:18:06,41.7764,126.0319,16.95,79,100,0.65
238,Wagga Wagga,AU,2022-01-25 01:14:15,-35.1167,147.3667,85.84,38,20,5.17
239,Goundam,ML,2022-01-25 01:18:06,16.4145,-3.6708,65.79,13,100,10.27
240,Zhmerynka,UA,2022-01-25 01:18:07,49.037,28.112,16.84,96,34,7.94
241,Norman Wells,CA,2022-01-25 01:18:07,65.282,-126.8329,12.24,85,75,3.44
242,Nata,PA,2022-01-25 01:18:07,8.3333,-80.5167,78.67,77,79,11.86
243,Pevek,RU,2022-01-25 01:10:25,69.7008,170.3133,-15.75,98,100,6.91
244,Port Lincoln,AU,2022-01-25 01:18:08,-34.7333,135.8667,76.37,65,0,3.36
245,Charters Towers,AU,2022-01-25 01:18:08,-20.1,146.2667,75.06,84,100,5.64
246,Hualmay,PE,2022-01-25 01:11:39,-11.0964,-77.6139,72.55,80,94,9.93
247,Cadillac,US,2022-01-25 01:18:09,44.2519,-85.4012,16.84,79,100,0.0
248,Tongchuan,CN,2022-01-25 01:18:09,35.0806,109.0897,34.32,75,89,1.63
249,Izhma,RU,2022-01-25 01:18:09,65.0083,53.9113,25.95,92,100,10.98
250,Hofn,IS,2022-01-25 01:18:10,64.2539,-15.2082,32.79,97,100,3.91
251,Mayo,US,2022-01-25 01:18:10,38.8876,-76.5119,37.74,77,0,4.0
252,Krasnoselkup,RU,2022-01-25 01:18:10,65.7,82.4667,-10.23,99,62,8.75
253,Margate,GB,2022-01-25 01:18:11,51.3813,1.3862,40.91,78,35,1.01
254,Te Anau,NZ,2022-01-25 01:16:20,-45.4167,167.7167,66.87,51,100,3.13
255,Springbok,ZA,2022-01-25 01:18:11,-29.6643,17.8865,75.31,42,4,3.11
256,Staraya Poltavka,RU,2022-01-25 01:18:12,50.4772,46.4814,13.73,93,100,9.26
257,Cherskiy,RU,2022-01-25 01:11:39,68.75,161.3,-32.31,100,100,5.7
258,Muros,ES,2022-01-25 01:18:12,42.7762,-9.0603,46.24,83,2,5.21
259,Ostrovnoy,RU,2022-01-25 01:18:13,68.0531,39.5131,21.36,90,4,12.26
260,Ancud,CL,2022-01-25 01:18:13,-41.8697,-73.8203,57.42,84,42,4.54
261,Clonakilty,IE,2022-01-25 01:18:13,51.6231,-8.8706,45.09,82,100,5.5
262,Pundaguitan,PH,2022-01-25 01:18:13,6.3711,126.1689,80.73,78,26,5.73
263,Leua,SK,2022-01-25 01:18:14,48.2156,18.6071,25.5,93,21,2.17
264,Tilichiki,RU,2022-01-25 01:18:14,60.4667,166.1,-16.38,92,19,6.38
265,Sabha,LY,2022-01-25 01:17:32,27.0377,14.4283,45.84,49,1,9.28
266,Qasigiannguit,GL,2022-01-25 01:18:15,68.8193,-51.1922,23.25,85,100,6.46
267,Santa Marta,CO,2022-01-25 01:18:15,11.2408,-74.199,83.89,52,34,18.01
268,Yar-Sale,RU,2022-01-25 01:18:15,66.8333,70.8333,4.01,95,22,12.82
269,Nagorsk,RU,2022-01-25 01:18:16,59.3172,50.8078,12.25,90,99,10.92
270,Shishou,CN,2022-01-25 01:18:16,29.7226,112.419,39.6,81,100,4.7
271,Saint George,US,2022-01-25 01:07:09,37.1041,-113.5841,55.99,29,0,1.99
272,Bintulu,MY,2022-01-25 01:18:16,3.1667,113.0333,79.21,89,20,4.61
273,Tenabo,MX,2022-01-25 01:18:17,20.05,-90.2333,75.2,67,0,6.31
274,Nassau,US,2022-01-25 01:15:23,40.7507,-73.5829,34.07,76,100,1.01
275,Vestmannaeyjar,IS,2022-01-25 01:18:42,63.4427,-20.2734,43.48,93,100,37.47
276,Montevideo,UY,2022-01-25 01:19:17,-34.8335,-56.1674,76.71,78,0,11.5
277,Yaan,NG,2022-01-25 01:17:33,7.3833,8.5667,76.77,16,1,7.65
278,Vestmanna,FO,2022-01-25 01:19:18,62.1564,-7.1664,40.12,81,75,13.8
279,Waipawa,NZ,2022-01-25 01:19:18,-41.4122,175.5153,68.63,58,100,2.84
280,Mustasaari,FI,2022-01-25 01:19:18,63.1142,21.6822,33.75,69,0,10.36
281,Darnah,LY,2022-01-25 01:19:19,32.767,22.6367,49.33,63,100,20.07
282,Nome,US,2022-01-25 01:19:19,64.5011,-165.4064,19.47,74,100,20.71
283,Torbay,CA,2022-01-25 01:19:19,47.6666,-52.7314,32.76,96,100,35.68
284,Samarai,PG,2022-01-25 01:19:20,-10.6167,150.6667,86.76,68,100,8.93
285,Suntar,RU,2022-01-25 01:19:20,62.1444,117.6319,-7.78,99,100,3.2
286,Risor,NO,2022-01-25 01:19:20,58.7206,9.2342,38.16,72,11,12.26
287,Bathsheba,BB,2022-01-25 01:19:21,13.2167,-59.5167,77.61,69,20,12.66
288,Teya,RU,2022-01-25 01:19:21,60.3778,92.6267,-8.88,100,88,1.9
289,Meulaboh,ID,2022-01-25 01:19:21,4.1363,96.1285,75.88,88,99,3.13
